date,value,classification
2024-01-01,62,Greed
2024-01-02,64,Greed
2024-01-03,80,Extreme Greed
2024-01-04,46,Neutral
2024-01-05,23,Extreme Fear
2024-01-06,94,Extreme Greed
2024-01-07,83,Extreme Greed
2024-01-08,43,Fear
2024-01-09,73,Greed
2024-01-10,83,Extreme Greed
2024-01-11,6,Extreme Fear
2024-01-12,36,Fear
2024-01-13,13,Extreme Fear
2024-01-14,31,Fear
2024-01-15,37,Fear
2024-01-16,92,Extreme Greed
2024-01-17,91,Extreme Greed
2024-01-18,87,Extreme Greed
2024-01-19,47,Neutral
2024-01-20,21,Extreme Fear
2024-01-21,22,Extreme Fear
2024-01-22,29,Fear
2024-01-23,50,Neutral
2024-01-24,54,Neutral
2024-01-25,31,Fear
2024-01-26,16,Extreme Fear
2024-01-27,80,Extreme Greed
2024-01-28,42,Fear
2024-01-29,78,Extreme Greed
2024-01-30,48,Neutral
2024-01-31,26,Fear
2024-02-01,72,Greed
2024-02-02,71,Greed
2024-02-03,18,Extreme Fear
2024-02-04,78,Extreme Greed
2024-02-05,71,Greed
2024-02-06,49,Neutral
2024-02-07,36,Fear
2024-02-08,5,Extreme Fear
2024-02-09,54,Neutral
2024-02-10,16,Extreme Fear
2024-02-11,52,Neutral
2024-02-12,4,Extreme Fear
2024-02-13,73,Greed
2024-02-14,49,Neutral
2024-02-15,19,Extreme Fear
2024-02-16,95,Extreme Greed
2024-02-17,4,Extreme Fear
2024-02-18,65,Greed
2024-02-19,71,Greed
2024-02-20,73,Greed
2024-02-21,83,Extreme Greed
2024-02-22,16,Extreme Fear
2024-02-23,40,Fear
2024-02-24,23,Extreme Fear
2024-02-25,51,Neutral
2024-02-26,91,Extreme Greed
2024-02-27,49,Neutral
2024-02-28,29,Fear
2024-02-29,54,Neutral
2024-03-01,35,Fear
2024-03-02,84,Extreme Greed
2024-03-03,28,Fear
2024-03-04,60,Greed
2024-03-05,52,Neutral
2024-03-06,56,Greed
2024-03-07,36,Fear
2024-03-08,98,Extreme Greed
2024-03-09,4,Extreme Fear
2024-03-10,92,Extreme Greed
2024-03-11,40,Fear
2024-03-12,65,Greed
2024-03-13,32,Fear
2024-03-14,61,Greed
2024-03-15,63,Greed
2024-03-16,26,Fear
2024-03-17,26,Fear
2024-03-18,71,Greed
2024-03-19,95,Extreme Greed
2024-03-20,52,Neutral
2024-03-21,69,Greed
2024-03-22,50,Neutral
2024-03-23,47,Neutral
2024-03-24,29,Fear
2024-03-25,0,Extreme Fear
2024-03-26,39,Fear
2024-03-27,61,Greed
2024-03-28,54,Neutral
2024-03-29,45,Neutral
2024-03-30,54,Neutral
2024-03-31,60,Greed
2024-04-01,86,Extreme Greed
2024-04-02,1,Extreme Fear
2024-04-03,51,Neutral
2024-04-04,67,Greed
2024-04-05,31,Fear
2024-04-06,9,Extreme Fear
2024-04-07,65,Greed
2024-04-08,29,Fear
2024-04-09,31,Fear
2024-04-10,19,Extreme Fear
2024-04-11,43,Fear
2024-04-12,80,Extreme Greed
2024-04-13,73,Greed
2024-04-14,55,Neutral
2024-04-15,42,Fear
2024-04-16,96,Extreme Greed
2024-04-17,0,Extreme Fear
2024-04-18,72,Greed
2024-04-19,2,Extreme Fear
2024-04-20,100,Extreme Greed
2024-04-21,87,Extreme Greed
2024-04-22,44,Fear
2024-04-23,54,Neutral
2024-04-24,50,Neutral
2024-04-25,14,Extreme Fear
2024-04-26,33,Fear
2024-04-27,52,Neutral
2024-04-28,89,Extreme Greed
2024-04-29,52,Neutral
